127.0.0.1, 2021-10-13 15:27:53, GET, /, HTTP/1.1, 303, 0.001259
127.0.0.1, 2021-10-13 15:27:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.646821
127.0.0.1, 2021-10-13 15:27:54, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001539
127.0.0.1, 2021-10-13 15:27:54, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000839
127.0.0.1, 2021-10-13 15:27:54, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002478
127.0.0.1, 2021-10-13 15:27:54, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000852
127.0.0.1, 2021-10-13 15:27:54, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003088
127.0.0.1, 2021-10-13 15:27:54, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000743
127.0.0.1, 2021-10-13 15:27:54, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000522
127.0.0.1, 2021-10-13 15:27:54, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001801
127.0.0.1, 2021-10-13 15:27:54, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000650
127.0.0.1, 2021-10-13 15:27:54, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000209
127.0.0.1, 2021-10-13 15:27:54, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000459
127.0.0.1, 2021-10-13 15:28:10, GET, /admin/default/index, HTTP/1.1, 200, 0.436285
127.0.0.1, 2021-10-13 15:28:10, GET, /admin/static/_2.21.1/js/jquery.js, HTTP/1.1, 200, 0.001675
127.0.0.1, 2021-10-13 15:28:10, GET, /admin/static/_2.21.1/css/calendar.css, HTTP/1.1, 200, 0.012567
